Number,OPID,CPY ID,Company,Opportunity,Creation Date,Project,Owner,Lead,Active / Paused / Closed,Progress,Reason,Closing,Value,Revenue Type,TCV,Notes,Pain,Economic Buyer,Champion,Decision Criteria,Decision Process,Drive,Closing Probability,Average of Time invested,Last Task,Active Follow Up Task?,CF * Probability,Scenarios,Month,Data Origin,Data Cluster,Time Spend on OPID,Value / h,Earlist OPID Closing Date,Exclude before 2020,Exclude before 20202,Quarter,Cashflow Plan per Quarter,Cashflow Plan per Quarter by Owner,Number of Opportunities per Quarter per Owner,Cashflow Plan by Owner,OPID Stage,Reporting Cluster,Revenue Type Name,TCV (Actual),TCV (Forecast) Type,Data Origin2,Remove (-1),Creation Date_Year-Week,RevenueCurrency,RevenueCurrencySymbol,unknownProduct
70,OPID70,CPY825178,Continuous Composites,Hyperganic Print | 5 Axis Printer OS,,Hyperganic Print,Markus Finke,,Closed,3) Project Evaluation,I) missing technical features,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
71,OPID71,CPY825852,Coobx AG,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,4) Project Definition,L) waiting for business case,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
72,OPID72,CPY825337,Cubicon Inc.,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
73,OPID73,CPY82537,Cubicure,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,E) no priority,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
74,OPID74,CPY8251110,Daphne International Holdings Limited,Workflow | Footwear,,Footwear,Markus Finke,,Paused,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
75,OPID75,CPY825853,Deloitte Consulting GmbH,Technology Partnership,,Hyperganic Print,Markus Finke,,Paused,7) Project Implementation,N) Deviation from HY business strategy,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,7,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
76,OPID76,CPY82543,Desktop Metal,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,1) Prospect,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
77,OPID77,CPY8253300,DigiFabb,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
78,OPID78,CPY825176,Digital Alloys,Hyperganic Print,,Hyperganic Print,Markus Finke,,Closed,2) First Contact,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
79,OPID79,CPY825347,Digital Metal AB c/o Höganäs AB,Hyperganic Print | Bitmap,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
80,OPID80,CPY825982,dp polar GmbH ,Hyperganic Print | Inkjet,,Hyperganic Print,Markus Finke,,Closed,4) Project Definition,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
81,OPID81,CPY825352,DSM Additive Manufacturing,Workflow | Bridge,,Discovery,Markus Finke,,Paused,4) Project Definition,N) Deviation from HY business strategy,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
82,OPID82,CPY82549,DWS S.r.l. (Digital Wax System),Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Closed,3) Project Evaluation,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
83,OPID83,CPY825867,EDAG Engineering GmbH,Workflow | Conformal Cooling,,Tool Making,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Tool Making
84,OPID84,CPY825809,Elise,Workflow | Core Engine Licensing,,Discovery,Markus Finke,,Closed,2) First Contact,A) no strategic match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
85,OPID85,CPY82551,EnvisionTEC GmbH,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,4) Project Definition,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
86,OPID86,CPY82552,EOS GmbH Electro Optical Systems,Workflow | Helmet,,Discovery,Markus Finke,,Paused,4) Project Definition,,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
87,OPID87,CPY82553,EPlus 3D,Workflow | Footwear MC,,Footwear,Markus Finke,,Paused,8) Forecast,,"Wednesday, 1 September 2021"," 20,000.00 € ",,,,2,2,3,1,1,4,65%,#REF!,#REF!,," 13,000.00 € ",50%-75%,44440,Forecast,Revenue,#REF!,  ,"Wednesday, 1 September 2021",> 2020,,2021-Q3,"100,000 €","80,000 €",6,"13,333 €",8,#N/A,#N/A,20000,,Forecast,Unhide,1900-52,Euros,€,Footwear
88,OPID88,CPY82553,EPlus 3D,Workflow | Footwear MC,,Footwear,Markus Finke,,Paused,8) Forecast,,"Thursday, 1 September 2022"," 40,000.00 € ",,,,2,2,3,1,1,4,65%,#REF!,#REF!,," 26,000.00 € ",50%-75%,44805,Forecast,Revenue,#REF!,  ,"Thursday, 1 September 2022",> 2020,,2022-Q3,"300,000 €","210,000 €",5,"42,000 €",8,#N/A,#N/A,40000,,Forecast,Unhide,1900-52,Euros,€,Footwear
89,OPID89,CPY82553,EPlus 3D,Workflow | Footwear MC,,Footwear,Markus Finke,,Paused,5) Pilot,,"Tuesday, 1 December 2020"," 15,000.00 € ",,,,2,2,3,1,1,4,65%,#REF!,#REF!,," 9,750.00 € ",50%-75%,44166,Forecast,Revenue,#REF!,  ,"Tuesday, 1 December 2020",> 2020,,2020-Q4,,,5,0,5,#N/A,#N/A,15000,,Forecast,Unhide,1900-52,Euros,€,Footwear
90,OPID90,CPY825983,"Evolve Additive Solutions, Inc.",Hyperganic Print | Digital Mold Maker,,Hyperganic Print,Markus Finke,,Active,4) Project Definition,,"Tuesday, 1 March 2022"," 30,000.00 € ",,,,2,,,1,,2,25%,#REF!,#REF!,," 7,500.00 € ",25%-50%,44621,Forecast,Revenue,#REF!,  ,"Tuesday, 1 March 2022",> 2020,,2022-Q1,"200,000 €","140,000 €",19,"7,368 €",4,#N/A,#N/A,30000,,Forecast,Unhide,1900-52,Euros,€,Hyperganic Print
91,OPID91,CPY8253184,Exaddon,Hyperganic Print | FDM Specialised,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,N) Deviation from HY business strategy,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
92,OPID92,CPY825905,Exiom,Workflow | Orthotics for Animals,,Orthotics,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Orthotics
93,OPID93,CPY82555,ExOne,Workflow | Filter,,Discovery,Markus Finke,,Paused,2) First Contact,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
94,OPID94,CPY825972,FELIXrobotics BV,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
95,OPID95,CPY825844,Festo AG & Co. KG,Workflow | Robotics,,Discovery,Markus Finke,,Paused,8) Forecast,C) no progress,"Friday, 1 October 2021"," 30,000.00 € ",,,,2,3,3,1,1,4,70%,#REF!,#REF!,," 21,000.00 € ",50%-75%,44470,Forecast,Revenue,#REF!,  ,"Friday, 1 October 2021",> 2020,,2021-Q4,"250,000 €","175,000 €",10,"17,500 €",8,#N/A,#N/A,30000,,Forecast,Unhide,1900-52,Euros,€,Discovery
96,OPID96,CPY825844,Festo AG & Co. KG,Workflow | Robotics,,Discovery,Markus Finke,,Paused,8) Forecast,C) no progress,"Saturday, 1 October 2022"," 30,000.00 € ",,,,2,3,3,1,1,4,70%,#REF!,#REF!,," 21,000.00 € ",50%-75%,44835,Forecast,Revenue,#REF!,  ,"Saturday, 1 October 2022",> 2020,,2022-Q4,"500,000 €","350,000 €",7,"50,000 €",8,#N/A,#N/A,30000,,Forecast,Unhide,1900-52,Euros,€,Discovery
97,OPID97,CPY825844,Festo AG & Co. KG,Workflow | Robotics,,Discovery,Markus Finke,,Paused,9) Booked,,"Thursday, 27 February 2020"," 29,750.00 € ", One-Time ," 29,750.00 € ",,4,3,3,3,3,4,100%,#REF!,#REF!,," 29,750.00 € ",100%,43862,Forecast,Revenue,#REF!,  ,"Thursday, 27 February 2020",> 2020,,2020-Q1,,,4,0,9,1 - Revenue,TCV,29750,TCV,Forecast,Unhide,1900-52,Euros,€,Discovery
98,OPID98,CPY825844,Festo AG & Co. KG,Workflow | Kanalplatten,,Discovery,Markus Finke,,Paused,6) Negotiation,M) waiting for completion of other project,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
99,OPID99,CPY8251052,Fokker / GKN Aerospace,Workflow | Flame Arrester,,Discovery,Markus Finke,,Paused,4) Project Definition,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
100,OPID100,CPY8251042,Ford,Workflow | Custom Tools,,Discovery,Markus Finke,,Closed,2) First Contact,B) no budget / resources,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
101,OPID101,CPY82560,Formlabs,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Closed,1) Prospect,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
102,OPID102,CPY8251059,Fujian Union Hospital,Workflow | MRI to Object,,Discovery,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
103,OPID103,CPY825872,Genera3D GmbH,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Closed,4) Project Definition,F) competition,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
104,OPID104,CPY82564,German RepRap,Hyperganic Print | LAM & X500,,Hyperganic Print,Markus Finke,,Closed,8) Forecast,C) no progress,"Saturday, 1 April 2023"," 100,000.00 € ",,,,2,3,3,1,3,2,70%,#REF!,#REF!,," 70,000.00 € ",50%-75%,45017,Forecast,Revenue,#REF!,  ,"Saturday, 1 April 2023",> 2020,,2023-Q2,,,2,0,8,#N/A,#N/A,100000,,Forecast,Unhide,1900-52,Euros,€,Hyperganic Print
105,OPID105,CPY82564,German RepRap,Hyperganic Print | LAM & X500,,Hyperganic Print,Markus Finke,,Closed,8) Forecast,C) no progress,"Friday, 1 April 2022"," 60,000.00 € ",,,,2,3,3,1,3,2,70%,#REF!,#REF!,," 42,000.00 € ",50%-75%,44652,Forecast,Revenue,#REF!,  ,"Friday, 1 April 2022",> 2020,,2022-Q2,"300,000 €","210,000 €",8,"26,250 €",8,#N/A,#N/A,60000,,Forecast,Unhide,1900-52,Euros,€,Hyperganic Print
106,OPID106,CPY82564,German RepRap,Hyperganic Print | LAM & X500,,Hyperganic Print,Markus Finke,,Closed,6) Negotiation,,,,,,,2,3,3,1,3,2,70%,#REF!,#REF!,, -   € ,50%-75%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
107,OPID107,CPY82565,Gewo Feinmechanik GmbH,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
108,OPID108,CPY82566,Gizmo 3D,Hyperganic Print | Resin,,Hyperganic Print,Sherman Lim,,Closed,5) Pilot,A) no strategic match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,18,0,5,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
109,OPID109,CPY8255014,GN Store Nord A/S,Workflow | Earmold Design,,Audiology,Sherman Lim,,Closed,3) Project Evaluation,I) missing technical features,,,,,,2,,,,,2,20%,#REF!,#REF!,, -   € ,<25%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,18,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Audiology
110,OPID110,CPY825753,"Goofoo Technology Co., LTD",Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
111,OPID111,CPY82567,HAGE Sondermaschinenbau GmbH & Co. KG,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Paused,4) Project Definition,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
112,OPID112,CPY825445,Henkel AG & Co. KGaA,Workflow | Fixing Generation + Bonding Surface Tool,,Discovery,Markus Finke,,Closed,4) Project Definition,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
113,OPID113,CPY8253564,HeyGears,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,A) no strategic match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
114,OPID114,CPY825784,HK3DPrint,Workflow | Print Ready API,,Discovery,Markus Finke,,Paused,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
115,OPID115,CPY82572,HP Inc.,Material Validation (Catchall for indirect sales),,Footwear,Markus Finke,,Active,4) Project Definition,,"Tuesday, 1 March 2022"," 50,000.00 € ",,,,,1,3,,,,20%,#REF!,#REF!,," 10,000.00 € ",<25%,44621,Forecast,Revenue,#REF!,  ,"Tuesday, 1 March 2022",> 2020,,2022-Q1,"200,000 €","140,000 €",19,"7,368 €",4,#N/A,#N/A,100000,,Forecast,Unhide,1900-52,Euros,€,Footwear
115,OPID115,CPY82572,HP Inc.,Material Validation (Catchall for indirect sales),,Footwear,Markus Finke,,Active,4) Project Definition,,"Thursday, 1 December 2022"," 50,000.00 € ", ARR ,,,,1,3,,,,20%,#REF!,#REF!,," 10,000.00 € ",<25%,44896,Forecast,Revenue,#REF!,  ,"Tuesday, 1 March 2022",> 2020,,2022-Q4,"500,000 €","350,000 €",7,"50,000 €",4,1 - Revenue,ARR,100000,,Forecast,Unhide,1900-52,Euros,€,Footwear
117,OPID117,CPY82572,HP Inc.,Workflow | Insole,,Footwear,Markus Finke,,Paused,6) Negotiation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
119,OPID119,CPY82572,HP Inc.,Workflow | Pulp Molds,,Tool Making,Markus Finke,,Paused,4) Project Definition,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Tool Making
120,OPID120,CPY82572,HP Inc.,Hyperganic Print | MJF,,Hyperganic Print,Markus Finke,,Closed,3) Project Evaluation,F) competition,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
121,OPID121,CPY8251019,IAC (International Automotive Corporation),Workflow | Consulting,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
122,OPID122,CPY8253502,Incus GmbH,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Active,4) Project Definition,,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
123,OPID123,CPY82576,"Intamsys Technology Co., Ltd",Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
124,OPID124,CPY825483,Jellypipe AG,Workflow | Repair,,Discovery,Markus Finke,,Closed,4) Project Definition,E) no priority,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
125,OPID125,CPY825855,Kathrein,Workflow | Antenna Design,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
126,OPID126,CPY825888,Kudo3D,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,5) Pilot,B) no budget / resources,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,5,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
127,OPID127,CPY8251060,Kulzer GmbH,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Closed,2) First Contact,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
128,OPID128,CPY825496,Kumovis GmbH,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Active,7) Project Implementation,,,,,,,4,,3,3,3,4,85%,#REF!,#REF!,, -   € ,75%-99%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,7,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
129,OPID129,CPY825496,Kumovis GmbH,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Closed,8) Forecast,N) Deviation from HY business strategy,"Wednesday, 1 June 2022"," 46,200.00 € ", ARR ,,,4,,3,3,3,4,85%,#REF!,#REF!,," 39,270.00 € ",75%-99%,44713,Forecast,Revenue,#REF!,  ,"Wednesday, 1 June 2022",> 2020,,2022-Q2,"300,000 €","210,000 €",8,"26,250 €",8,1 - Revenue,ARR,46200,,Forecast,Unhide,1900-52,Euros,€,Hyperganic Print
130,OPID130,CPY825496,Kumovis GmbH,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Closed,8) Forecast,N) Deviation from HY business strategy,"Thursday, 1 June 2023"," 138,600.00 € ", ARR ,,,4,,3,3,3,4,85%,#REF!,#REF!,," 117,810.00 € ",75%-99%,45078,Forecast,Revenue,#REF!,  ,"Thursday, 1 June 2023",> 2020,,2023-Q2,,,2,0,8,1 - Revenue,ARR,138600,,Forecast,Unhide,1900-52,Euros,€,Hyperganic Print
131,OPID131,CPY825850,LEGO Systems A/S,Workflow | Conformal Cooling,,Tool Making,Markus Finke,Outreach | Cold,Active,9) Booked,,"Wednesday, 15 December 2021"," 12,426.80 € ", ARR ," 12,426.80 € ",,2,3,3,3,3,4,100%,#REF!,#REF!,," 12,426.80 € ",100%,44531,Forecast,Revenue,#REF!,  ,"Wednesday, 15 December 2021",> 2020,,2021-Q4,"250,000 €","175,000 €",10,"17,500 €",9,1 - Revenue,ARR,24853.6,TCV,Forecast,Unhide,1900-52,Euros,€,Tool Making
131,OPID131,CPY825850,LEGO Systems A/S,Workflow | Conformal Cooling + Other Workflows,,Tool Making,Markus Finke,Outreach | Cold,Active,8) Forecast (Renewal),,"Thursday, 15 December 2022"," 12,426.80 € ", ARR ,,,2,3,3,3,3,4,90%,#REF!,#REF!,," 11,184.12 € ",75%-99%,44896,Forecast,Revenue,#REF!,  ,"Wednesday, 15 December 2021",> 2020,,2022-Q4,"500,000 €","350,000 €",7,"50,000 €",8,1 - Revenue,ARR,24853.6,,Forecast,Unhide,1900-52,Euros,€,Tool Making
132,OPID132,CPY825957,LEHVOSS (Shanghai) Chemical Trading Co. Ltd.,Workflow | Footwear MC,,Footwear,Markus Finke,,Paused,7) Project Implementation,L) waiting for business case,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,7,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
133,OPID133,CPY825505,Linde AG,Workflow | Gas Burner,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
